,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average
297,card3_count_full,371,361,430,363,309,392,371.0
298,card4_count_full,457,377,482,413,309,525,427.1666666666667
299,card5_count_full,1353,1116,1626,1225,968,1554,1307.0
300,card6_count_full,258,260,279,260,219,279,259.1666666666667
301,id_36_count_full,49,45,41,47,36,46,44.0
302,id_01_count_dist,836,793,1105,732,581,888,822.5
303,id_31_count_dist,2477,2391,2882,2059,1845,2919,2428.8333333333335
304,id_33_count_dist,575,642,756,577,594,742,647.6666666666666
305,id_36_count_dist,39,16,18,15,18,21,21.166666666666668
306,DT_M,4323,3520,4265,3371,3193,4601,3878.8333333333335
307,M_sum,0,0,0,0,0,0,0.0
308,M_na,614,540,668,496,495,650,577.1666666666666
309,ProductCD_target_mean,185,317,260,268,239,304,262.1666666666667
310,M4_target_mean,1531,1323,1804,1317,1233,1654,1477.0
311,TransactionAmt_check,194,238,184,96,130,90,155.33333333333334
312,card1_TransactionAmt_mean,5866,5180,6260,5051,4414,5993,5460.666666666667
313,card1_TransactionAmt_std,5803,5026,6348,4741,4417,5866,5366.833333333333
314,card2_TransactionAmt_mean,5319,4570,5736,4627,4174,5600,5004.333333333333
315,card2_TransactionAmt_std,5512,4751,5640,4578,3799,5395,4945.833333333333
316,card3_TransactionAmt_mean,192,211,233,217,179,186,203.0
317,card3_TransactionAmt_std,125,95,108,111,94,106,106.5
318,card5_TransactionAmt_mean,1981,1809,2215,1649,1350,1993,1832.8333333333333
319,card5_TransactionAmt_std,1777,1473,1796,1486,1324,1878,1622.3333333333333
320,uid_TransactionAmt_mean,3512,3277,3911,2915,2927,3266,3301.3333333333335
321,uid_TransactionAmt_std,3529,3134,3832,3312,2366,4020,3365.5
322,uid2_TransactionAmt_mean,3588,3043,3926,3309,2745,3868,3413.1666666666665
323,uid2_TransactionAmt_std,4325,3480,4272,3514,2989,4151,3788.5
324,uid3_TransactionAmt_mean,9581,7888,9540,7264,6920,9268,8410.166666666666
